update,mean_rollout_reward,policy_loss,value_loss,entropy
70.0,-0.7325693964958191,-0.0010760708537418395,1.5167586207389832,0.27062288019806147
71.0,-0.7008580565452576,-0.0020928995218127966,0.8370881788432598,0.22806814219802618
72.0,-0.700606644153595,-0.00044648715993389487,1.5979565680027008,0.3117216620594263
73.0,-0.6752864122390747,0.0010894378065131605,0.5667971652001143,0.19846657291054726
74.0,-0.6272691488265991,-0.000445076497271657,1.1179267391562462,0.23455559648573399
75.0,-0.645553708076477,-0.0014472358161583543,1.0934776365756989,0.14395826123654842
76.0,-0.684295117855072,-0.00047439089394174516,0.6574387885630131,0.20879366341978312
77.0,-0.6734512448310852,-0.000979102507699281,0.9195728562772274,0.14119207207113504
78.0,-0.6532337069511414,0.0010274951346218586,0.5463950671255589,0.1365378419868648
79.0,-0.6014909148216248,0.0015791170008014888,0.6484651826322079,0.18149870075285435
80.0,-0.6645203828811646,0.002737297210842371,0.6918886192142963,0.13426813203841448
81.0,-0.6997101902961731,-0.0005453570047393441,0.6413222476840019,0.13001310918480158
82.0,-0.6320256590843201,-0.0006504359043901786,0.9008170887827873,0.17044682055711746
83.0,-0.5604866147041321,0.0016728199552744627,0.5970650725066662,0.2224980667233467
84.0,-0.6463325023651123,-0.00047912169247865677,0.6945849061012268,0.14473701221868396
85.0,-0.6343509554862976,0.0006766534934286028,0.7081799022853374,0.1837686114013195
86.0,-0.5910077691078186,-0.00041592627530917525,0.49789850413799286,0.16582894884049892
87.0,-0.6303904056549072,0.0021552746766246855,0.7695905789732933,0.24508720729500055
88.0,-0.5624040365219116,-0.0004229402693454176,0.5266916286200285,0.2559639997780323
89.0,-0.5877569913864136,0.0013590352609753609,0.6444952934980392,0.25980974454432726
90.0,-0.6135882139205933,-0.0005167700874153525,0.7295611910521984,0.19599678460508585
91.0,-0.6417341232299805,-0.0022479771869257092,0.5496616661548615,0.16757437121123075
92.0,-0.623046875,0.002637128549395129,0.6526082195341587,0.18393144570291042
93.0,-0.6060646176338196,-0.0005736327148042619,0.542928870767355,0.1692654239013791
94.0,-0.6743066906929016,-0.0011229004885535687,0.6992291212081909,0.13060479052364826
95.0,-0.6613383889198303,-0.0003707340219989419,0.6403675526380539,0.1265627508983016
96.0,-0.6168191432952881,-0.001350022095721215,0.4231778848916292,0.11433998867869377
97.0,-0.6199708580970764,-0.0002611262898426503,0.4467327520251274,0.12048776354640722
98.0,-0.6176019906997681,-0.0003949182864744216,0.4884379804134369,0.0897820321843028
99.0,-0.5648470520973206,-0.0006395612144842744,0.6423495709896088,0.13163638301193714
100.0,-0.6343975067138672,-0.0011211324017494917,0.645195797085762,0.14608526416122913
